date;Batman;Pedro Almodóvar;Penélope Cruz;Sarah Palin;air travel;isPartial
2022-01-01;78;1;0;1;3;False
2022-01-02;72;0;0;0;8;False
2022-01-03;66;0;1;0;5;False
2022-01-04;59;0;0;0;6;False
2022-01-05;55;0;0;0;9;False
2022-01-06;48;0;1;0;7;False
2022-01-07;56;0;0;0;8;False
2022-01-08;74;0;0;1;7;False
2022-01-09;77;0;0;0;6;False
2022-01-10;57;0;0;0;9;False
2022-01-11;61;0;0;0;7;False
2022-01-12;56;0;0;1;8;False
2022-01-13;56;0;0;0;9;False
2022-01-14;67;0;0;1;9;False
2022-01-15;79;2;0;0;8;False
2022-01-16;76;3;0;0;9;False
2022-01-17;56;0;0;0;6;False
2022-01-18;55;0;0;0;7;False
2022-01-19;47;0;0;0;8;False
2022-01-20;67;1;0;0;4;False
2022-01-21;78;0;0;2;4;False
2022-01-22;100;0;1;0;6;False
2022-01-23;84;0;0;1;8;False
2022-01-24;71;0;0;2;8;False
2022-01-25;57;0;0;2;6;False
2022-01-26;58;0;0;1;7;False
2022-01-27;67;0;0;4;6;False
2022-01-28;59;1;1;4;6;False
2022-01-29;75;1;0;1;4;False
2022-01-30;80;0;0;1;8;False
2022-01-31;61;0;0;0;9;False
