date;Credit cards;Credit card fees;Oscar Isaac;Shrewsbury;air travel;isPartial
2022-01-01;3;0;0;13;1;False
2022-01-02;4;0;0;17;1;False
2022-01-03;5;0;0;14;1;False
2022-01-04;5;0;0;14;1;False
2022-01-05;4;0;1;15;2;False
2022-01-06;5;0;0;14;1;False
2022-01-07;4;0;0;16;1;False
2022-01-08;4;0;0;21;2;False
2022-01-09;4;0;0;100;1;False
2022-01-10;5;0;0;21;2;False
2022-01-11;4;0;0;12;2;False
2022-01-12;4;0;0;11;1;False
2022-01-13;5;0;0;14;2;False
2022-01-14;4;0;0;12;2;False
2022-01-15;4;0;0;17;1;False
2022-01-16;5;0;1;12;2;False
2022-01-17;7;0;0;13;1;False
2022-01-18;3;0;4;13;1;False
2022-01-19;4;0;3;12;2;False
2022-01-20;4;0;1;13;1;False
2022-01-21;4;0;1;13;1;False
2022-01-22;4;0;1;17;1;False
2022-01-23;4;0;1;12;1;False
2022-01-24;4;0;0;14;2;False
2022-01-25;4;0;0;13;1;False
2022-01-26;4;0;0;12;1;False
2022-01-27;5;0;0;13;2;False
2022-01-28;4;0;1;14;1;False
2022-01-29;4;0;0;17;1;False
2022-01-30;4;0;1;12;2;False
2022-01-31;5;0;0;15;2;False
