date;smart motorways;kim jong un;bafta;rugby;air travel;isPartial
2022-01-01;0;1;1;43;1;False
2022-01-02;0;1;1;44;1;False
2022-01-03;0;1;1;34;1;False
2022-01-04;0;0;1;32;1;False
2022-01-05;0;1;0;31;2;False
2022-01-06;0;1;0;31;1;False
2022-01-07;0;1;1;40;1;False
2022-01-08;0;1;0;57;1;False
2022-01-09;0;1;0;52;1;False
2022-01-10;0;1;1;35;2;False
2022-01-11;0;1;1;41;1;False
2022-01-12;4;1;2;74;2;False
2022-01-13;0;0;1;46;2;False
2022-01-14;0;0;1;43;2;False
2022-01-15;0;1;1;77;1;False
2022-01-16;0;1;0;60;2;False
2022-01-17;0;0;0;36;1;False
2022-01-18;0;1;0;39;1;False
2022-01-19;0;1;0;37;2;False
2022-01-20;0;1;0;34;1;False
2022-01-21;0;1;1;49;0;False
2022-01-22;0;0;1;79;1;False
2022-01-23;0;0;0;68;1;False
2022-01-24;0;1;1;44;2;False
2022-01-25;0;0;0;34;1;False
2022-01-26;0;0;0;40;1;False
2022-01-27;0;1;1;37;1;False
2022-01-28;0;1;0;56;1;False
2022-01-29;0;0;1;100;1;False
2022-01-30;0;1;1;75;1;False
2022-01-31;0;0;1;47;2;False
