date;Construction industry;Grenfell Tower fire;Nazism;Edmund White;air travel;isPartial
2022-01-01;0;5;0;8;34;False
2022-01-02;14;5;5;0;63;False
2022-01-03;0;0;0;0;51;False
2022-01-04;0;0;0;24;54;False
2022-01-05;30;6;6;5;77;False
2022-01-06;12;0;0;0;61;False
2022-01-07;20;0;5;0;63;False
2022-01-08;7;13;0;0;71;False
2022-01-09;9;0;0;0;55;False
2022-01-10;12;9;7;0;97;False
2022-01-11;26;7;7;0;79;False
2022-01-12;29;10;13;0;67;False
2022-01-13;26;38;8;0;100;False
2022-01-14;8;12;0;6;84;False
2022-01-15;21;0;11;0;66;False
2022-01-16;9;0;11;16;72;False
2022-01-17;36;0;0;10;65;False
2022-01-18;23;10;12;0;59;False
2022-01-19;7;4;0;10;74;False
2022-01-20;7;12;0;0;54;False
2022-01-21;21;8;11;0;38;False
2022-01-22;16;0;0;0;53;False
2022-01-23;0;0;0;0;69;False
2022-01-24;14;10;5;9;97;False
2022-01-25;23;0;6;0;49;False
2022-01-26;24;0;0;0;64;False
2022-01-27;18;7;16;0;71;False
2022-01-28;19;0;10;0;49;False
2022-01-29;0;0;7;0;60;False
2022-01-30;8;6;0;0;71;False
2022-01-31;23;5;5;0;82;False
