date;utah;hugh jackman;covid-19;iain duncan smith;air travel;isPartial
2022-01-01;16;10;74;1;5;False
2022-01-02;19;13;76;1;10;False
2022-01-03;12;6;86;2;9;False
2022-01-04;11;11;100;1;10;False
2022-01-05;14;6;83;0;13;False
2022-01-06;9;2;88;0;10;False
2022-01-07;10;7;71;1;11;False
2022-01-08;13;10;66;1;11;False
2022-01-09;16;7;72;0;8;False
2022-01-10;11;5;73;0;14;False
2022-01-11;9;5;71;0;11;False
2022-01-12;10;4;62;2;13;False
2022-01-13;9;16;75;6;13;False
2022-01-14;10;9;54;1;13;False
2022-01-15;12;11;44;0;11;False
2022-01-16;8;27;59;4;13;False
2022-01-17;10;9;55;1;9;False
2022-01-18;10;7;60;1;10;False
2022-01-19;11;6;70;0;13;False
2022-01-20;10;5;73;0;6;False
2022-01-21;12;6;65;1;4;False
2022-01-22;10;11;43;0;11;False
2022-01-23;9;10;48;0;12;False
2022-01-24;9;6;75;0;13;False
2022-01-25;7;4;51;1;8;False
2022-01-26;10;4;55;2;10;False
2022-01-27;10;6;46;0;8;False
2022-01-28;11;7;49;0;7;False
2022-01-29;14;11;39;0;8;False
2022-01-30;11;9;51;0;10;False
2022-01-31;12;5;54;2;13;False
