date;adele;apps;xinjiang;coronavirus lockdown measures;air travel;isPartial
2022-01-01;27;57;1;0;2;False
2022-01-02;22;62;0;0;3;False
2022-01-03;16;64;0;0;3;False
2022-01-04;17;61;0;0;3;False
2022-01-05;14;52;0;0;4;False
2022-01-06;15;51;1;0;3;False
2022-01-07;17;47;1;1;3;False
2022-01-08;22;57;0;0;4;False
2022-01-09;18;55;0;0;3;False
2022-01-10;15;52;0;0;5;False
2022-01-11;13;54;0;0;4;False
2022-01-12;18;48;0;0;4;False
2022-01-13;19;50;0;0;5;False
2022-01-14;15;45;0;0;4;False
2022-01-15;18;53;0;0;3;False
2022-01-16;19;61;1;0;4;False
2022-01-17;15;49;0;0;3;False
2022-01-18;18;45;0;0;3;False
2022-01-19;16;45;1;0;4;False
2022-01-20;30;44;0;0;3;False
2022-01-21;100;45;0;0;2;False
2022-01-22;54;52;0;0;3;False
2022-01-23;44;58;1;0;4;False
2022-01-24;33;62;1;0;5;False
2022-01-25;20;53;1;0;3;False
2022-01-26;21;47;0;0;3;False
2022-01-27;17;43;0;0;4;False
2022-01-28;16;47;0;0;3;False
2022-01-29;19;53;0;0;3;False
2022-01-30;24;47;0;0;4;False
2022-01-31;16;50;0;0;4;False
