date;Imran Khan;Services sector;Nicky Henderson;Willie Mullins;air travel;isPartial
2022-01-01;14;0;0;9;34;False
2022-01-02;23;0;7;9;63;False
2022-01-03;32;10;0;10;51;False
2022-01-04;20;11;0;12;54;False
2022-01-05;18;0;0;8;77;False
2022-01-06;18;0;15;0;61;False
2022-01-07;5;6;0;4;63;False
2022-01-08;37;0;21;0;71;False
2022-01-09;27;6;7;5;55;False
2022-01-10;25;0;0;0;97;False
2022-01-11;13;8;0;0;79;False
2022-01-12;22;0;0;0;67;False
2022-01-13;26;13;7;0;100;False
2022-01-14;15;0;16;0;84;False
2022-01-15;29;11;9;0;66;False
2022-01-16;34;0;0;5;72;False
2022-01-17;29;0;5;0;65;False
2022-01-18;28;9;17;0;59;False
2022-01-19;19;19;0;0;74;False
2022-01-20;14;0;4;0;54;False
2022-01-21;16;8;0;0;38;False
2022-01-22;19;0;20;8;53;False
2022-01-23;23;0;8;5;69;False
2022-01-24;31;8;0;0;97;False
2022-01-25;16;4;23;0;49;False
2022-01-26;21;0;14;5;64;False
2022-01-27;29;17;0;0;71;False
2022-01-28;29;6;8;16;49;False
2022-01-29;16;0;15;20;60;False
2022-01-30;23;0;0;0;71;False
2022-01-31;33;8;6;9;82;False
