date;Sports rights;Tinder;Budget 2023;Gymnastics;air travel;isPartial
2023-01-01;1;91;7;34;11;False
2023-01-02;0;90;4;53;13;False
2023-01-03;0;81;7;49;8;False
2023-01-04;1;76;5;59;13;False
2023-01-05;2;74;5;61;10;False
2023-01-06;0;78;3;60;10;False
2023-01-07;1;67;3;59;8;False
2023-01-08;0;89;3;52;12;False
2023-01-09;0;75;3;64;7;False
2023-01-10;1;72;5;54;11;False
2023-01-11;1;66;6;55;13;False
2023-01-12;0;68;3;48;11;False
2023-01-13;0;73;3;51;9;False
2023-01-14;0;83;2;56;8;False
2023-01-15;0;90;7;57;9;False
2023-01-16;0;77;4;50;10;False
2023-01-17;3;82;6;52;8;False
2023-01-18;1;75;5;56;11;False
2023-01-19;3;73;7;51;10;False
2023-01-20;1;79;8;50;8;False
2023-01-21;0;83;3;70;9;False
2023-01-22;0;100;4;52;10;False
2023-01-23;3;81;2;66;10;False
2023-01-24;1;68;4;70;8;False
2023-01-25;1;71;4;46;11;False
2023-01-26;0;66;6;55;10;False
2023-01-27;1;63;6;49;7;False
2023-01-28;1;83;5;58;9;False
2023-01-29;0;91;4;51;9;False
2023-01-30;0;83;11;57;14;False
2023-01-31;3;77;8;50;12;False
