date;Nigeria;World news;Steven Spielberg;the crown;air travel;isPartial
2023-01-01;60;68;13;100;10;False
2023-01-02;66;60;5;82;11;False
2023-01-03;66;61;4;67;7;False
2023-01-04;69;55;4;68;11;False
2023-01-05;72;58;4;65;9;False
2023-01-06;75;51;4;66;9;False
2023-01-07;64;47;6;73;7;False
2023-01-08;63;51;6;91;11;False
2023-01-09;69;58;5;72;6;False
2023-01-10;80;55;3;63;10;False
2023-01-11;67;53;10;66;11;False
2023-01-12;68;58;8;63;9;False
2023-01-13;65;52;7;65;8;False
2023-01-14;66;42;10;74;7;False
2023-01-15;63;57;9;84;8;False
2023-01-16;79;57;7;58;9;False
2023-01-17;72;52;7;57;7;False
2023-01-18;72;48;8;58;10;False
2023-01-19;74;54;22;56;9;False
2023-01-20;69;59;15;64;7;False
2023-01-21;72;48;15;75;8;False
2023-01-22;61;52;12;70;9;False
2023-01-23;81;57;9;58;9;False
2023-01-24;76;55;8;67;7;False
2023-01-25;73;52;12;63;10;False
2023-01-26;89;57;10;55;9;False
2023-01-27;79;55;21;63;6;False
2023-01-28;61;49;31;73;8;False
2023-01-29;72;53;24;69;8;False
2023-01-30;85;59;14;62;13;False
2023-01-31;74;57;9;51;11;False
