date;volodymyr zelenskyy;Robert Buckland;Vulture funds;Membership;air travel;isPartial
2023-01-01;0;0;0;80;5;False
2023-01-02;0;1;0;91;6;False
2023-01-03;0;0;0;100;4;False
2023-01-04;0;0;0;87;6;False
2023-01-05;0;0;0;77;5;False
2023-01-06;0;0;1;70;5;False
2023-01-07;0;0;1;67;3;False
2023-01-08;1;0;1;85;5;False
2023-01-09;0;0;0;80;3;False
2023-01-10;1;0;0;83;5;False
2023-01-11;0;0;0;76;6;False
2023-01-12;0;0;0;74;5;False
2023-01-13;1;0;0;69;4;False
2023-01-14;0;0;0;66;4;False
2023-01-15;0;0;0;74;4;False
2023-01-16;0;0;1;86;4;False
2023-01-17;0;0;0;71;4;False
2023-01-18;0;0;0;71;5;False
2023-01-19;0;0;0;67;5;False
2023-01-20;0;0;0;66;4;False
2023-01-21;0;0;0;68;4;False
2023-01-22;2;0;0;74;5;False
2023-01-23;1;0;1;80;5;False
2023-01-24;0;0;0;72;4;False
2023-01-25;2;0;0;70;5;False
2023-01-26;1;1;0;77;4;False
2023-01-27;1;0;0;70;3;False
2023-01-28;0;0;0;68;4;False
2023-01-29;0;0;0;84;4;False
2023-01-30;2;1;0;85;6;False
2023-01-31;1;0;0;84;5;False
