date;Infectious diseases;Independent Commission Against Corruption;data graphics;Christmas Island;air travel;isPartial
2023-01-01;17;0;0;42;76;False
2023-01-02;0;0;7;49;90;False
2023-01-03;0;0;0;18;59;False
2023-01-04;16;0;0;21;89;False
2023-01-05;20;0;0;29;73;False
2023-01-06;9;0;6;21;73;False
2023-01-07;11;0;0;20;53;False
2023-01-08;0;0;0;42;84;False
2023-01-09;6;0;6;15;50;False
2023-01-10;24;0;0;21;79;False
2023-01-11;21;0;6;14;90;False
2023-01-12;15;0;0;19;75;False
2023-01-13;12;0;0;9;60;False
2023-01-14;14;0;7;15;56;False
2023-01-15;0;0;0;10;66;False
2023-01-16;10;0;6;0;68;False
2023-01-17;10;0;0;11;56;False
2023-01-18;0;0;8;16;80;False
2023-01-19;8;0;0;20;73;False
2023-01-20;27;0;0;6;59;False
2023-01-21;0;0;0;14;63;False
2023-01-22;5;0;0;15;70;False
2023-01-23;9;0;0;11;72;False
2023-01-24;29;0;0;10;55;False
2023-01-25;6;0;0;18;75;False
2023-01-26;8;0;5;16;68;False
2023-01-27;5;0;0;21;47;False
2023-01-28;0;0;12;0;66;False
2023-01-29;9;0;0;18;60;False
2023-01-30;0;0;10;37;100;False
2023-01-31;9;0;0;6;84;False
