date;Finances;A24;Lecce;N/A;air travel;isPartial
2023-01-01;16;13;5;9;35;False
2023-01-02;15;12;7;11;42;False
2023-01-03;20;8;14;0;27;False
2023-01-04;22;10;38;6;41;False
2023-01-05;20;7;22;5;34;False
2023-01-06;11;13;6;6;34;False
2023-01-07;24;10;12;3;25;False
2023-01-08;19;22;24;3;39;False
2023-01-09;27;12;3;4;23;False
2023-01-10;11;23;22;12;37;False
2023-01-11;11;22;9;10;42;False
2023-01-12;18;24;8;9;35;False
2023-01-13;5;16;10;0;28;False
2023-01-14;16;16;100;3;26;False
2023-01-15;22;10;14;12;31;False
2023-01-16;9;16;8;0;32;False
2023-01-17;14;11;3;8;26;False
2023-01-18;21;13;7;8;37;False
2023-01-19;20;23;8;7;34;False
2023-01-20;13;13;9;0;27;False
2023-01-21;9;11;22;9;29;False
2023-01-22;19;10;17;3;32;False
2023-01-23;17;12;7;6;33;False
2023-01-24;14;15;6;5;26;False
2023-01-25;16;31;11;5;35;False
2023-01-26;19;15;14;13;31;False
2023-01-27;18;8;56;5;22;False
2023-01-28;12;21;22;7;31;False
2023-01-29;13;20;15;0;28;False
2023-01-30;23;12;8;19;46;False
2023-01-31;21;15;9;10;39;False
