date;Marie Kondo;Cornwall;Jazz;Biopics;air travel;isPartial
2023-01-01;1;51;21;0;2;False
2023-01-02;0;52;16;0;3;False
2023-01-03;1;50;18;0;2;False
2023-01-04;0;51;17;0;2;False
2023-01-05;0;44;17;0;2;False
2023-01-06;1;47;18;0;2;False
2023-01-07;1;48;16;0;1;False
2023-01-08;1;54;18;0;2;False
2023-01-09;0;100;15;0;1;False
2023-01-10;0;62;16;0;2;False
2023-01-11;0;52;16;0;3;False
2023-01-12;0;49;17;0;2;False
2023-01-13;1;44;16;0;2;False
2023-01-14;0;45;19;0;2;False
2023-01-15;0;52;17;0;2;False
2023-01-16;0;47;15;0;2;False
2023-01-17;0;57;17;0;2;False
2023-01-18;0;50;16;0;2;False
2023-01-19;1;46;18;0;2;False
2023-01-20;0;44;17;0;2;False
2023-01-21;1;43;18;0;2;False
2023-01-22;0;50;18;0;2;False
2023-01-23;0;48;17;0;2;False
2023-01-24;0;45;17;0;2;False
2023-01-25;0;45;14;0;2;False
2023-01-26;0;46;15;0;2;False
2023-01-27;2;45;17;0;1;False
2023-01-28;6;41;19;0;2;False
2023-01-29;1;49;17;0;2;False
2023-01-30;2;49;15;0;3;False
2023-01-31;2;47;17;0;2;False
