date;FA Cup;Hedge funds;Glass Animals;Zoology;air travel;isPartial
2023-01-01;2;0;0;0;0;False
2023-01-02;3;0;0;0;0;False
2023-01-03;3;0;0;0;0;False
2023-01-04;4;0;0;0;0;False
2023-01-05;6;0;0;0;0;False
2023-01-06;28;0;0;0;0;False
2023-01-07;88;0;0;0;0;False
2023-01-08;100;0;0;0;0;False
2023-01-09;27;0;0;0;0;False
2023-01-10;11;0;0;0;0;False
2023-01-11;8;0;0;0;0;False
2023-01-12;5;0;0;0;0;False
2023-01-13;4;0;0;0;0;False
2023-01-14;3;0;0;0;0;False
2023-01-15;3;0;0;0;0;False
2023-01-16;4;0;0;0;0;False
2023-01-17;25;0;0;0;0;False
2023-01-18;13;0;0;0;0;False
2023-01-19;4;0;0;0;0;False
2023-01-20;3;0;0;0;0;False
2023-01-21;3;0;0;0;0;False
2023-01-22;3;0;0;0;0;False
2023-01-23;4;0;0;0;0;False
2023-01-24;7;0;0;0;0;False
2023-01-25;7;0;0;0;0;False
2023-01-26;8;0;0;0;0;False
2023-01-27;32;0;0;0;0;False
2023-01-28;71;0;0;0;0;False
2023-01-29;67;0;0;0;0;False
2023-01-30;48;0;0;0;0;False
2023-01-31;17;0;0;0;0;False
