date;jacinda ardern;Cynthia Erivo;Ursula von der Leyen;Thrillers;air travel;isPartial
2023-01-01;0;0;1;4;4;False
2023-01-02;0;0;1;3;5;False
2023-01-03;0;0;0;2;3;False
2023-01-04;0;0;0;3;5;False
2023-01-05;1;0;1;2;4;False
2023-01-06;0;0;0;3;4;False
2023-01-07;0;1;0;3;3;False
2023-01-08;1;0;0;2;5;False
2023-01-09;0;0;0;2;3;False
2023-01-10;0;0;0;1;5;False
2023-01-11;0;0;1;2;5;False
2023-01-12;0;1;0;2;4;False
2023-01-13;1;1;0;2;3;False
2023-01-14;1;0;1;3;3;False
2023-01-15;1;0;0;2;4;False
2023-01-16;0;0;1;2;4;False
2023-01-17;0;1;1;1;3;False
2023-01-18;1;0;1;1;5;False
2023-01-19;100;0;0;2;4;False
2023-01-20;28;0;0;2;3;False
2023-01-21;20;0;1;4;4;False
2023-01-22;15;1;0;2;4;False
2023-01-23;8;0;0;1;4;False
2023-01-24;4;0;0;2;3;False
2023-01-25;5;1;0;1;4;False
2023-01-26;4;0;0;1;4;False
2023-01-27;2;0;0;2;3;False
2023-01-28;2;0;0;4;4;False
2023-01-29;1;1;1;2;3;False
2023-01-30;2;0;0;2;6;False
2023-01-31;2;0;0;1;5;False
