date;Corporate governance;microsoft;Richard E Grant;Simon Schama;air travel;isPartial
2023-01-01;0;27;1;0;1;False
2023-01-02;0;35;1;0;2;False
2023-01-03;0;47;1;0;1;False
2023-01-04;0;47;0;0;2;False
2023-01-05;0;48;1;0;1;False
2023-01-06;0;45;1;0;1;False
2023-01-07;0;28;1;0;1;False
2023-01-08;0;34;1;0;2;False
2023-01-09;0;50;0;0;1;False
2023-01-10;1;54;0;1;1;False
2023-01-11;0;53;0;0;2;False
2023-01-12;0;56;0;0;1;False
2023-01-13;0;48;0;0;1;False
2023-01-14;0;29;0;0;1;False
2023-01-15;0;30;1;0;1;False
2023-01-16;0;54;1;0;1;False
2023-01-17;0;52;0;0;1;False
2023-01-18;1;55;0;0;1;False
2023-01-19;0;51;1;0;1;False
2023-01-20;0;46;0;0;1;False
2023-01-21;0;32;0;0;1;False
2023-01-22;0;32;1;0;1;False
2023-01-23;0;51;0;0;1;False
2023-01-24;0;54;0;0;1;False
2023-01-25;0;100;1;0;1;False
2023-01-26;0;53;0;0;1;False
2023-01-27;0;47;1;0;1;False
2023-01-28;0;29;1;0;1;False
2023-01-29;0;34;0;0;1;False
2023-01-30;0;54;0;0;2;False
2023-01-31;0;56;1;1;2;False
