date;music;Eswatini;ukraine;Kansas City Chiefs;air travel;isPartial
2023-01-01;86;0;30;1;1;False
2023-01-02;80;0;30;0;1;False
2023-01-03;75;0;29;0;1;False
2023-01-04;78;0;30;0;1;False
2023-01-05;80;0;29;0;1;False
2023-01-06;85;0;30;0;1;False
2023-01-07;78;0;27;1;1;False
2023-01-08;87;0;28;1;1;False
2023-01-09;86;0;27;0;1;False
2023-01-10;80;0;29;0;1;False
2023-01-11;86;0;28;0;1;False
2023-01-12;96;0;29;0;1;False
2023-01-13;87;0;29;0;1;False
2023-01-14;100;0;29;0;1;False
2023-01-15;86;0;28;0;1;False
2023-01-16;81;0;29;0;1;False
2023-01-17;80;0;29;0;1;False
2023-01-18;83;0;31;0;1;False
2023-01-19;86;0;29;0;1;False
2023-01-20;88;0;32;0;1;False
2023-01-21;93;1;30;2;1;False
2023-01-22;85;0;31;1;1;False
2023-01-23;92;0;31;0;1;False
2023-01-24;89;0;34;0;1;False
2023-01-25;88;0;37;0;1;False
2023-01-26;82;0;33;0;1;False
2023-01-27;89;0;30;0;1;False
2023-01-28;83;0;28;0;1;False
2023-01-29;88;0;29;1;1;False
2023-01-30;88;0;30;2;1;False
2023-01-31;87;0;30;1;1;False
