date;China's one-child policy;Marine life;New Statesman;Jimmy Kimmel;air travel;isPartial
2023-01-01;0;4;15;15;49;False
2023-01-02;0;7;8;10;58;False
2023-01-03;0;0;7;13;38;False
2023-01-04;0;3;14;11;57;False
2023-01-05;0;3;13;7;47;False
2023-01-06;0;7;18;54;47;False
2023-01-07;0;0;6;100;34;False
2023-01-08;0;4;0;43;54;False
2023-01-09;0;6;6;9;32;False
2023-01-10;0;6;12;10;51;False
2023-01-11;0;6;23;20;57;False
2023-01-12;0;12;17;22;48;False
2023-01-13;0;6;15;11;38;False
2023-01-14;0;11;12;19;36;False
2023-01-15;0;0;6;13;42;False
2023-01-16;0;6;7;15;44;False
2023-01-17;0;8;22;34;36;False
2023-01-18;0;13;25;28;51;False
2023-01-19;0;4;13;15;47;False
2023-01-20;0;6;12;20;38;False
2023-01-21;0;7;0;17;40;False
2023-01-22;0;0;9;16;45;False
2023-01-23;0;7;6;10;46;False
2023-01-24;0;10;10;11;35;False
2023-01-25;0;10;19;6;48;False
2023-01-26;0;11;8;14;43;False
2023-01-27;0;0;9;21;30;False
2023-01-28;0;0;16;10;42;False
2023-01-29;0;5;11;14;39;False
2023-01-30;0;5;10;10;64;False
2023-01-31;0;4;8;15;54;False
