date;The Batman;Grace Wales Bonner;Olivia Colman;Universities;air travel;isPartial
2023-01-01;85;0;100;48;20;False
2023-01-02;66;3;37;66;24;False
2023-01-03;54;0;29;60;15;False
2023-01-04;46;0;13;68;23;False
2023-01-05;35;0;15;73;19;False
2023-01-06;52;1;26;77;19;False
2023-01-07;77;2;30;56;14;False
2023-01-08;62;0;37;71;22;False
2023-01-09;41;0;23;82;13;False
2023-01-10;38;0;35;91;21;False
2023-01-11;40;0;23;89;24;False
2023-01-12;48;4;36;85;20;False
2023-01-13;41;0;27;86;16;False
2023-01-14;76;0;39;83;15;False
2023-01-15;55;0;31;70;17;False
2023-01-16;43;2;16;96;18;False
2023-01-17;38;3;13;96;15;False
2023-01-18;42;0;16;94;21;False
2023-01-19;43;0;19;86;19;False
2023-01-20;47;0;20;76;16;False
2023-01-21;74;0;20;60;17;False
2023-01-22;60;0;13;89;18;False
2023-01-23;31;0;12;94;19;False
2023-01-24;37;2;11;97;15;False
2023-01-25;39;3;16;99;20;False
2023-01-26;40;0;14;84;18;False
2023-01-27;35;0;11;77;12;False
2023-01-28;50;3;14;66;17;False
2023-01-29;48;0;13;68;16;False
2023-01-30;35;0;19;80;26;False
2023-01-31;42;0;16;89;22;False
