date;Josh Widdicombe;Women's trousers;West Bromwich Albion;rspca;air travel;isPartial
2023-01-01;11;49;9;82;20;False
2023-01-02;8;54;31;84;23;False
2023-01-03;7;44;9;75;15;False
2023-01-04;30;44;11;83;23;False
2023-01-05;4;47;12;83;19;False
2023-01-06;7;34;7;73;19;False
2023-01-07;6;42;20;76;14;False
2023-01-08;4;50;10;83;22;False
2023-01-09;6;42;7;76;13;False
2023-01-10;7;38;15;67;20;False
2023-01-11;6;35;7;74;23;False
2023-01-12;6;39;9;88;19;False
2023-01-13;6;35;7;76;15;False
2023-01-14;2;54;22;81;14;False
2023-01-15;6;50;8;70;17;False
2023-01-16;4;40;13;72;18;False
2023-01-17;5;46;27;73;14;False
2023-01-18;5;41;11;75;21;False
2023-01-19;0;39;10;80;19;False
2023-01-20;15;33;20;87;15;False
2023-01-21;6;49;11;90;16;False
2023-01-22;5;48;5;92;18;False
2023-01-23;3;30;11;83;18;False
2023-01-24;4;41;6;80;14;False
2023-01-25;7;41;7;73;19;False
2023-01-26;5;39;5;74;17;False
2023-01-27;6;30;10;72;12;False
2023-01-28;5;53;24;73;17;False
2023-01-29;4;51;9;68;15;False
2023-01-30;0;39;10;100;26;False
2023-01-31;2;40;19;78;22;False
