date;Salvador Dalí;Aberdeen;Dominic Cummings;menopause;air travel;isPartial
2023-01-01;0;27;0;7;1;False
2023-01-02;0;34;0;8;1;False
2023-01-03;0;28;0;8;1;False
2023-01-04;0;30;0;8;1;False
2023-01-05;0;29;0;9;1;False
2023-01-06;0;29;0;8;1;False
2023-01-07;0;30;0;8;1;False
2023-01-08;0;27;0;9;1;False
2023-01-09;0;28;0;8;1;False
2023-01-10;0;28;0;8;1;False
2023-01-11;0;29;0;9;1;False
2023-01-12;0;30;0;9;1;False
2023-01-13;0;28;0;7;1;False
2023-01-14;0;31;0;8;1;False
2023-01-15;0;100;0;8;1;False
2023-01-16;0;33;0;7;1;False
2023-01-17;0;32;0;8;1;False
2023-01-18;0;38;0;8;1;False
2023-01-19;0;33;0;8;1;False
2023-01-20;0;31;0;8;1;False
2023-01-21;0;32;0;8;1;False
2023-01-22;0;30;0;8;1;False
2023-01-23;0;62;0;8;1;False
2023-01-24;0;47;0;16;1;False
2023-01-25;0;36;0;12;1;False
2023-01-26;0;30;0;10;1;False
2023-01-27;0;30;0;9;1;False
2023-01-28;0;46;0;8;1;False
2023-01-29;0;35;0;9;1;False
2023-01-30;0;32;0;9;1;False
2023-01-31;0;33;0;10;1;False
