date;ozzy osbourne;Poverty;Centrica;bournemouth;air travel;isPartial
2023-01-01;1;1;0;26;1;False
2023-01-02;1;1;0;25;1;False
2023-01-03;1;2;2;100;1;False
2023-01-04;1;2;2;27;1;False
2023-01-05;1;2;1;19;1;False
2023-01-06;1;2;1;20;1;False
2023-01-07;1;1;0;27;1;False
2023-01-08;1;2;0;20;1;False
2023-01-09;1;2;1;20;1;False
2023-01-10;1;2;2;20;1;False
2023-01-11;1;2;1;19;1;False
2023-01-12;1;2;3;20;1;False
2023-01-13;1;2;2;20;1;False
2023-01-14;1;1;1;31;1;False
2023-01-15;1;2;0;20;1;False
2023-01-16;1;2;2;22;1;False
2023-01-17;1;2;2;20;1;False
2023-01-18;1;2;1;19;1;False
2023-01-19;1;2;2;19;1;False
2023-01-20;1;2;1;21;1;False
2023-01-21;1;1;1;33;1;False
2023-01-22;0;2;0;20;1;False
2023-01-23;0;2;2;21;1;False
2023-01-24;1;2;1;20;1;False
2023-01-25;1;2;2;22;1;False
2023-01-26;1;2;2;19;1;False
2023-01-27;1;2;2;21;1;False
2023-01-28;2;1;0;20;1;False
2023-01-29;1;2;0;18;1;False
2023-01-30;1;2;2;20;1;False
2023-01-31;0;2;2;22;1;False
