date;Sikhism;United Arab Emirates;The gender gap;Engineering;air travel;isPartial
2023-01-01;1;2;0;37;5;False
2023-01-02;1;1;0;48;6;False
2023-01-03;1;1;0;70;4;False
2023-01-04;2;1;0;82;6;False
2023-01-05;3;2;1;86;5;False
2023-01-06;1;1;0;67;5;False
2023-01-07;1;1;0;43;4;False
2023-01-08;2;2;0;54;6;False
2023-01-09;3;2;1;89;3;False
2023-01-10;2;1;0;100;5;False
2023-01-11;2;2;2;87;6;False
2023-01-12;2;0;1;96;5;False
2023-01-13;2;2;1;74;4;False
2023-01-14;1;0;0;49;4;False
2023-01-15;1;2;0;53;4;False
2023-01-16;3;1;1;94;5;False
2023-01-17;2;1;1;100;4;False
2023-01-18;4;1;0;95;5;False
2023-01-19;3;2;1;85;5;False
2023-01-20;2;1;0;77;4;False
2023-01-21;1;2;0;54;4;False
2023-01-22;1;1;0;48;5;False
2023-01-23;3;2;0;97;5;False
2023-01-24;3;2;1;92;4;False
2023-01-25;2;1;1;89;5;False
2023-01-26;2;1;1;90;5;False
2023-01-27;1;2;1;73;3;False
2023-01-28;1;1;0;45;4;False
2023-01-29;2;1;0;49;4;False
2023-01-30;3;1;0;97;7;False
2023-01-31;1;1;0;92;6;False
