date;Brad Pitt;tesco;Data protection;Mafia;air travel;isPartial
2023-01-01;1;100;0;1;0;False
2023-01-02;1;79;0;1;0;False
2023-01-03;0;41;1;1;0;False
2023-01-04;0;38;1;1;0;False
2023-01-05;1;37;1;1;0;False
2023-01-06;1;38;0;1;0;False
2023-01-07;1;38;0;1;0;False
2023-01-08;1;43;0;1;0;False
2023-01-09;1;35;1;1;0;False
2023-01-10;0;35;1;1;0;False
2023-01-11;1;37;1;1;0;False
2023-01-12;1;37;1;1;0;False
2023-01-13;1;35;0;1;0;False
2023-01-14;1;38;0;1;0;False
2023-01-15;1;41;0;1;0;False
2023-01-16;1;35;1;2;0;False
2023-01-17;1;34;1;1;0;False
2023-01-18;1;35;1;1;0;False
2023-01-19;1;34;1;1;0;False
2023-01-20;1;38;1;1;0;False
2023-01-21;1;41;0;1;0;False
2023-01-22;1;43;0;1;0;False
2023-01-23;1;38;1;1;0;False
2023-01-24;1;35;1;1;0;False
2023-01-25;1;34;1;1;0;False
2023-01-26;1;37;1;1;0;False
2023-01-27;1;39;1;1;0;False
2023-01-28;1;40;0;1;0;False
2023-01-29;1;44;0;1;0;False
2023-01-30;1;37;1;1;0;False
2023-01-31;1;40;1;1;0;False
