date;higher education;Christchurch shooting;The Darkness;Jacinda Ardern;air travel;isPartial
2023-01-01;4;0;47;0;4;False
2023-01-02;4;0;7;0;5;False
2023-01-03;5;0;5;0;3;False
2023-01-04;5;0;4;0;5;False
2023-01-05;7;0;3;1;4;False
2023-01-06;5;0;6;0;4;False
2023-01-07;3;0;6;0;3;False
2023-01-08;4;0;5;1;5;False
2023-01-09;6;0;4;0;3;False
2023-01-10;6;1;4;0;5;False
2023-01-11;5;0;4;0;5;False
2023-01-12;5;0;3;0;4;False
2023-01-13;4;0;5;1;3;False
2023-01-14;3;0;4;1;3;False
2023-01-15;4;0;4;1;4;False
2023-01-16;6;0;5;0;4;False
2023-01-17;5;0;5;0;3;False
2023-01-18;5;0;6;1;5;False
2023-01-19;6;0;4;100;4;False
2023-01-20;5;1;3;28;3;False
2023-01-21;3;0;3;20;4;False
2023-01-22;4;0;5;15;4;False
2023-01-23;5;0;5;8;4;False
2023-01-24;6;0;5;4;3;False
2023-01-25;5;0;5;5;4;False
2023-01-26;4;0;5;4;4;False
2023-01-27;5;0;6;2;3;False
2023-01-28;2;0;7;2;4;False
2023-01-29;2;0;7;1;3;False
2023-01-30;6;1;7;2;6;False
2023-01-31;5;0;8;2;5;False
