date;Equal marriage;west yorkshire;chris rock;Tanzania;air travel;isPartial
2023-01-01;0;68;17;42;26;False
2023-01-02;4;87;11;34;31;False
2023-01-03;0;86;8;38;20;False
2023-01-04;2;86;8;39;30;False
2023-01-05;2;95;13;43;25;False
2023-01-06;0;83;6;42;25;False
2023-01-07;0;69;10;35;18;False
2023-01-08;0;73;12;37;29;False
2023-01-09;0;92;7;44;17;False
2023-01-10;0;96;8;48;27;False
2023-01-11;0;78;14;33;31;False
2023-01-12;3;87;10;34;26;False
2023-01-13;0;75;15;30;21;False
2023-01-14;0;78;11;41;19;False
2023-01-15;2;71;14;49;23;False
2023-01-16;0;82;0;44;23;False
2023-01-17;0;79;4;46;19;False
2023-01-18;0;91;7;41;27;False
2023-01-19;4;83;4;48;25;False
2023-01-20;0;88;8;33;20;False
2023-01-21;3;81;16;47;22;False
2023-01-22;0;85;3;32;24;False
2023-01-23;2;84;8;52;25;False
2023-01-24;0;87;12;34;19;False
2023-01-25;0;88;11;40;26;False
2023-01-26;4;73;6;37;23;False
2023-01-27;0;91;13;35;16;False
2023-01-28;5;72;12;25;23;False
2023-01-29;0;83;13;100;21;False
2023-01-30;0;93;9;41;34;False
2023-01-31;0;87;9;38;29;False
