date;Everything Everywhere All At Once;Government data;Volodymyr Zelenskiy;Cricket Australia;air travel;isPartial
2023-01-01;20;0;0;3;6;False
2023-01-02;12;0;1;2;7;False
2023-01-03;10;1;0;3;5;False
2023-01-04;11;1;0;6;7;False
2023-01-05;7;0;0;7;6;False
2023-01-06;10;0;0;7;6;False
2023-01-07;12;0;0;5;4;False
2023-01-08;11;0;0;7;7;False
2023-01-09;7;1;0;1;4;False
2023-01-10;9;0;0;2;6;False
2023-01-11;36;2;0;1;7;False
2023-01-12;29;2;0;2;6;False
2023-01-13;24;1;0;3;5;False
2023-01-14;25;1;0;2;5;False
2023-01-15;20;0;0;1;5;False
2023-01-16;20;1;0;2;6;False
2023-01-17;11;1;1;2;5;False
2023-01-18;9;0;0;1;7;False
2023-01-19;19;1;1;2;6;False
2023-01-20;16;2;1;3;5;False
2023-01-21;23;0;0;2;5;False
2023-01-22;18;0;1;2;6;False
2023-01-23;10;1;0;1;6;False
2023-01-24;100;1;0;2;5;False
2023-01-25;48;2;0;0;6;False
2023-01-26;21;2;0;2;6;False
2023-01-27;32;1;1;3;4;False
2023-01-28;45;1;0;1;5;False
2023-01-29;36;0;0;2;5;False
2023-01-30;15;2;0;1;8;False
2023-01-31;14;1;0;2;7;False
