date;NSW election 2023;Bauer;Michael O'Leary;Loretta Lynn;air travel;isPartial
2023-01-01;0;26;0;3;36;False
2023-01-02;0;32;0;0;42;False
2023-01-03;0;29;0;3;27;False
2023-01-04;0;34;0;3;41;False
2023-01-05;0;28;0;7;34;False
2023-01-06;0;27;0;6;34;False
2023-01-07;0;34;3;3;25;False
2023-01-08;4;31;0;0;39;False
2023-01-09;0;28;0;3;23;False
2023-01-10;4;27;0;0;37;False
2023-01-11;0;24;0;2;42;False
2023-01-12;4;32;0;0;35;False
2023-01-13;0;34;0;0;28;False
2023-01-14;0;29;0;4;26;False
2023-01-15;0;63;0;2;31;False
2023-01-16;0;51;0;0;32;False
2023-01-17;0;64;3;0;26;False
2023-01-18;0;45;0;10;37;False
2023-01-19;0;28;0;0;34;False
2023-01-20;3;37;0;0;27;False
2023-01-21;0;32;3;0;29;False
2023-01-22;0;30;0;11;33;False
2023-01-23;0;37;2;0;33;False
2023-01-24;0;45;0;0;26;False
2023-01-25;0;36;0;3;35;False
2023-01-26;0;28;5;3;32;False
2023-01-27;0;29;0;0;22;False
2023-01-28;0;28;0;4;31;False
2023-01-29;0;100;0;0;28;False
2023-01-30;0;68;0;0;47;False
2023-01-31;4;39;0;0;39;False
