date;Airline emissions;Randy Newman;Turks and Caicos Islands;Eating disorders;air travel;isPartial
2023-01-01;0;9;0;34;76;False
2023-01-02;0;0;7;24;90;False
2023-01-03;0;5;5;44;59;False
2023-01-04;0;10;9;47;89;False
2023-01-05;0;11;19;40;73;False
2023-01-06;0;25;10;59;73;False
2023-01-07;0;13;0;31;53;False
2023-01-08;0;12;0;26;84;False
2023-01-09;0;0;5;62;50;False
2023-01-10;0;0;0;25;79;False
2023-01-11;0;0;0;47;90;False
2023-01-12;0;0;12;54;75;False
2023-01-13;0;0;6;40;60;False
2023-01-14;0;0;0;31;56;False
2023-01-15;0;0;0;23;66;False
2023-01-16;0;5;0;47;68;False
2023-01-17;0;7;6;49;56;False
2023-01-18;0;0;0;41;80;False
2023-01-19;0;0;5;43;73;False
2023-01-20;0;10;0;58;59;False
2023-01-21;0;0;0;37;63;False
2023-01-22;0;9;0;56;70;False
2023-01-23;0;0;7;52;72;False
2023-01-24;0;11;21;62;55;False
2023-01-25;0;11;6;51;75;False
2023-01-26;0;0;0;42;68;False
2023-01-27;0;0;0;27;47;False
2023-01-28;0;10;0;29;66;False
2023-01-29;0;8;11;39;60;False
2023-01-30;0;5;0;46;100;False
2023-01-31;0;0;0;48;84;False
