date;University of Reading;Twenty20;Environment Agency;OpenAI;air travel;isPartial
2023-01-01;4;2;13;42;23;False
2023-01-02;6;2;11;41;27;False
2023-01-03;12;0;25;65;17;False
2023-01-04;9;0;28;74;26;False
2023-01-05;8;2;24;62;22;False
2023-01-06;13;0;19;65;22;False
2023-01-07;7;0;18;57;16;False
2023-01-08;16;0;19;60;25;False
2023-01-09;11;2;27;82;15;False
2023-01-10;13;2;52;100;24;False
2023-01-11;22;0;39;87;27;False
2023-01-12;13;0;63;92;22;False
2023-01-13;14;0;35;75;18;False
2023-01-14;7;0;37;55;17;False
2023-01-15;8;0;25;60;20;False
2023-01-16;14;2;29;83;20;False
2023-01-17;14;0;25;75;17;False
2023-01-18;12;0;22;86;24;False
2023-01-19;17;0;18;75;22;False
2023-01-20;6;0;20;64;18;False
2023-01-21;5;0;8;47;19;False
2023-01-22;13;2;7;62;21;False
2023-01-23;13;4;20;84;21;False
2023-01-24;15;0;18;96;16;False
2023-01-25;15;2;10;84;22;False
2023-01-26;14;3;18;80;20;False
2023-01-27;13;0;19;80;14;False
2023-01-28;8;3;6;56;20;False
2023-01-29;3;2;7;70;18;False
2023-01-30;13;4;20;93;30;False
2023-01-31;10;0;23;89;25;False
