date;Terrence Malick;Armenia;arctic monkeys;Media;air travel;isPartial
2023-01-01;0;1;4;60;2;False
2023-01-02;0;1;4;72;2;False
2023-01-03;0;1;4;84;2;False
2023-01-04;0;0;4;92;2;False
2023-01-05;0;1;5;86;2;False
2023-01-06;0;1;5;82;2;False
2023-01-07;0;1;4;66;1;False
2023-01-08;0;1;5;73;2;False
2023-01-09;0;2;4;94;1;False
2023-01-10;0;2;4;92;2;False
2023-01-11;0;1;4;96;2;False
2023-01-12;0;1;4;96;2;False
2023-01-13;0;0;4;81;2;False
2023-01-14;0;1;5;68;2;False
2023-01-15;0;1;3;64;2;False
2023-01-16;0;1;4;96;2;False
2023-01-17;0;1;4;90;1;False
2023-01-18;0;1;3;93;2;False
2023-01-19;0;1;3;91;2;False
2023-01-20;1;1;5;94;2;False
2023-01-21;0;1;4;72;2;False
2023-01-22;1;1;4;68;2;False
2023-01-23;0;1;5;93;2;False
2023-01-24;0;1;4;95;1;False
2023-01-25;0;1;3;90;2;False
2023-01-26;0;1;4;85;2;False
2023-01-27;0;2;4;83;1;False
2023-01-28;0;1;6;65;2;False
2023-01-29;0;1;5;65;2;False
2023-01-30;0;1;4;93;3;False
2023-01-31;0;1;3;100;2;False
