date;South Pacific;Édith Piaf;Credit cards;Dianne Feinstein;air travel;isPartial
2023-01-01;3;0;56;2;22;False
2023-01-02;6;0;83;0;25;False
2023-01-03;5;0;86;0;16;False
2023-01-04;4;0;78;2;25;False
2023-01-05;6;0;96;2;21;False
2023-01-06;7;0;73;0;21;False
2023-01-07;4;0;84;0;15;False
2023-01-08;4;0;77;0;24;False
2023-01-09;6;0;91;0;14;False
2023-01-10;8;0;85;0;22;False
2023-01-11;4;0;84;0;25;False
2023-01-12;2;0;84;0;21;False
2023-01-13;5;0;65;0;17;False
2023-01-14;5;0;77;0;16;False
2023-01-15;0;1;78;0;19;False
2023-01-16;11;2;75;0;19;False
2023-01-17;2;0;100;0;16;False
2023-01-18;5;0;86;0;23;False
2023-01-19;0;0;71;0;20;False
2023-01-20;4;0;74;2;17;False
2023-01-21;5;0;93;7;18;False
2023-01-22;3;0;91;0;20;False
2023-01-23;2;0;89;0;20;False
2023-01-24;5;0;91;2;15;False
2023-01-25;4;1;86;0;21;False
2023-01-26;7;0;88;0;19;False
2023-01-27;4;0;76;2;13;False
2023-01-28;3;0;82;0;19;False
2023-01-29;9;0;76;0;17;False
2023-01-30;6;4;82;0;28;False
2023-01-31;4;0;76;4;24;False
