date;amber heard;Léa Seydoux;Albert Einstein;NoViolet Bulawayo;air travel;isPartial
2023-01-01;100;55;40;0;65;False
2023-01-02;62;7;40;0;77;False
2023-01-03;43;10;27;6;50;False
2023-01-04;64;0;28;0;76;False
2023-01-05;44;6;19;0;62;False
2023-01-06;35;0;30;0;63;False
2023-01-07;48;0;31;0;46;False
2023-01-08;49;0;12;7;72;False
2023-01-09;54;0;32;0;43;False
2023-01-10;58;0;26;0;67;False
2023-01-11;42;7;40;0;77;False
2023-01-12;46;8;31;0;64;False
2023-01-13;53;0;34;0;51;False
2023-01-14;46;16;24;16;48;False
2023-01-15;47;0;28;0;57;False
2023-01-16;40;0;23;0;58;False
2023-01-17;40;0;25;0;48;False
2023-01-18;34;0;27;0;68;False
2023-01-19;46;0;53;0;62;False
2023-01-20;44;0;35;0;51;False
2023-01-21;52;0;29;0;54;False
2023-01-22;48;0;29;6;60;False
2023-01-23;31;0;51;6;61;False
2023-01-24;28;5;39;0;47;False
2023-01-25;53;0;39;0;64;False
2023-01-26;28;0;30;0;58;False
2023-01-27;46;8;47;0;40;False
2023-01-28;74;0;21;5;56;False
2023-01-29;62;0;36;5;52;False
2023-01-30;47;0;30;11;85;False
2023-01-31;45;11;16;7;72;False
