date;Ben Wallace;Pupil behaviour;University funding;Coca-Cola;air travel;isPartial
2023-01-01;8;0;9;10;76;False
2023-01-02;8;6;0;9;90;False
2023-01-03;11;0;14;7;59;False
2023-01-04;0;0;24;10;89;False
2023-01-05;8;0;15;14;73;False
2023-01-06;0;11;15;13;73;False
2023-01-07;9;11;8;15;53;False
2023-01-08;0;0;7;14;84;False
2023-01-09;14;0;9;15;50;False
2023-01-10;7;0;14;0;79;False
2023-01-11;12;0;8;19;90;False
2023-01-12;6;24;24;27;75;False
2023-01-13;0;12;5;26;60;False
2023-01-14;8;0;8;20;56;False
2023-01-15;11;0;14;11;66;False
2023-01-16;20;0;21;15;68;False
2023-01-17;8;0;8;23;56;False
2023-01-18;17;0;13;20;80;False
2023-01-19;22;0;21;28;73;False
2023-01-20;15;0;19;21;59;False
2023-01-21;0;0;0;7;63;False
2023-01-22;10;0;18;15;70;False
2023-01-23;0;8;7;12;72;False
2023-01-24;10;0;28;20;55;False
2023-01-25;10;0;0;7;75;False
2023-01-26;0;5;25;19;68;False
2023-01-27;9;0;11;5;47;False
2023-01-28;0;0;0;22;66;False
2023-01-29;8;6;0;11;60;False
2023-01-30;38;0;14;16;100;False
2023-01-31;7;0;15;13;84;False
