date;james cleverly;Sport England;Referees;Legal aid;air travel;isPartial
2023-01-01;0;20;12;19;56;False
2023-01-02;8;19;27;37;67;False
2023-01-03;0;33;26;65;43;False
2023-01-04;17;37;38;65;65;False
2023-01-05;7;46;30;71;54;False
2023-01-06;0;21;20;62;54;False
2023-01-07;11;15;35;31;39;False
2023-01-08;6;31;27;34;62;False
2023-01-09;12;26;18;78;37;False
2023-01-10;0;43;32;86;58;False
2023-01-11;26;45;20;73;66;False
2023-01-12;4;32;31;65;55;False
2023-01-13;30;30;34;46;44;False
2023-01-14;21;6;59;22;41;False
2023-01-15;4;30;55;17;49;False
2023-01-16;14;40;31;94;50;False
2023-01-17;12;25;56;69;41;False
2023-01-18;12;20;39;75;59;False
2023-01-19;4;35;100;77;54;False
2023-01-20;6;26;57;70;44;False
2023-01-21;27;25;41;27;46;False
2023-01-22;61;22;43;23;52;False
2023-01-23;8;34;22;73;53;False
2023-01-24;0;33;30;99;41;False
2023-01-25;5;29;26;72;56;False
2023-01-26;0;24;27;84;50;False
2023-01-27;5;49;27;49;35;False
2023-01-28;0;9;32;28;49;False
2023-01-29;4;37;23;22;44;False
2023-01-30;6;29;26;81;74;False
2023-01-31;5;35;28;82;62;False
