date;Trump administration;Extra;PwC;Magazines;air travel;isPartial
2023-01-01;0;99;4;5;4;False
2023-01-02;0;100;5;4;5;False
2023-01-03;0;81;9;6;3;False
2023-01-04;0;84;10;5;5;False
2023-01-05;0;74;8;7;4;False
2023-01-06;0;82;10;5;4;False
2023-01-07;0;84;4;4;3;False
2023-01-08;0;87;6;5;4;False
2023-01-09;0;75;9;6;3;False
2023-01-10;1;78;10;8;4;False
2023-01-11;0;74;11;6;5;False
2023-01-12;0;77;12;7;4;False
2023-01-13;0;66;9;5;3;False
2023-01-14;0;76;3;6;3;False
2023-01-15;0;87;4;6;3;False
2023-01-16;0;73;11;6;4;False
2023-01-17;0;76;12;7;3;False
2023-01-18;0;70;13;5;4;False
2023-01-19;0;71;10;7;4;False
2023-01-20;0;72;11;7;3;False
2023-01-21;0;81;4;5;3;False
2023-01-22;0;87;4;6;4;False
2023-01-23;0;76;11;6;4;False
2023-01-24;0;76;11;7;3;False
2023-01-25;1;71;12;7;4;False
2023-01-26;0;71;11;8;4;False
2023-01-27;0;77;10;8;2;False
2023-01-28;0;71;4;5;3;False
2023-01-29;0;84;5;5;3;False
2023-01-30;0;78;11;6;5;False
2023-01-31;0;74;13;8;4;False
