date;Stoke City;Greenham Common;stranger things;new zealand;air travel;isPartial
2023-01-01;9;1;38;46;4;False
2023-01-02;35;0;31;66;4;False
2023-01-03;9;0;27;70;3;False
2023-01-04;7;1;22;71;4;False
2023-01-05;7;0;24;61;4;False
2023-01-06;8;0;35;71;4;False
2023-01-07;12;0;32;36;3;False
2023-01-08;29;0;31;44;4;False
2023-01-09;10;1;22;77;2;False
2023-01-10;5;0;19;38;4;False
2023-01-11;9;0;20;75;4;False
2023-01-12;7;0;20;39;4;False
2023-01-13;9;0;19;79;3;False
2023-01-14;30;0;26;36;3;False
2023-01-15;9;0;26;41;3;False
2023-01-16;9;1;20;34;3;False
2023-01-17;8;1;15;35;3;False
2023-01-18;9;0;16;98;4;False
2023-01-19;10;0;15;69;4;False
2023-01-20;11;0;21;43;3;False
2023-01-21;32;0;23;95;3;False
2023-01-22;11;0;24;49;3;False
2023-01-23;11;0;19;40;4;False
2023-01-24;11;0;16;100;3;False
2023-01-25;10;0;18;39;4;False
2023-01-26;12;0;15;36;3;False
2023-01-27;11;0;17;82;2;False
2023-01-28;15;0;21;54;3;False
2023-01-29;41;0;20;89;3;False
2023-01-30;14;1;17;47;5;False
2023-01-31;22;1;13;42;4;False
