date;barcelona;Samsung;Andy Haldane;Investing;air travel;isPartial
2023-01-01;19;96;0;2;1;False
2023-01-02;20;100;0;2;1;False
2023-01-03;20;92;0;3;1;False
2023-01-04;34;82;0;2;1;False
2023-01-05;25;89;0;3;1;False
2023-01-06;21;85;0;3;1;False
2023-01-07;20;89;0;2;1;False
2023-01-08;45;92;1;2;1;False
2023-01-09;26;77;0;3;1;False
2023-01-10;21;85;0;3;1;False
2023-01-11;20;77;0;2;1;False
2023-01-12;41;78;0;2;1;False
2023-01-13;23;75;0;2;1;False
2023-01-14;24;89;0;2;1;False
2023-01-15;90;93;0;2;1;False
2023-01-16;29;79;0;2;1;False
2023-01-17;20;80;0;3;1;False
2023-01-18;18;76;0;2;1;False
2023-01-19;30;82;0;2;1;False
2023-01-20;22;76;0;2;1;False
2023-01-21;23;88;0;2;1;False
2023-01-22;36;88;0;2;1;False
2023-01-23;21;79;0;3;1;False
2023-01-24;21;78;0;3;1;False
2023-01-25;34;74;0;3;1;False
2023-01-26;22;76;0;2;1;False
2023-01-27;20;76;0;2;1;False
2023-01-28;32;79;0;2;1;False
2023-01-29;26;85;0;2;1;False
2023-01-30;23;74;0;2;2;False
2023-01-31;21;79;0;2;1;False
