date;Teen books;Jay-Z;Coco Gauff;Mo Gilligan;air travel;isPartial
2023-01-01;2;0;0;25;21;False
2023-01-02;4;0;0;4;25;False
2023-01-03;2;0;4;2;16;False
2023-01-04;2;2;2;3;24;False
2023-01-05;2;3;9;5;20;False
2023-01-06;0;2;4;7;20;False
2023-01-07;0;4;7;45;15;False
2023-01-08;0;0;10;11;23;False
2023-01-09;6;4;3;7;14;False
2023-01-10;0;0;3;8;22;False
2023-01-11;0;2;0;6;25;False
2023-01-12;2;3;4;9;20;False
2023-01-13;4;0;0;7;16;False
2023-01-14;0;0;0;66;15;False
2023-01-15;0;0;3;16;18;False
2023-01-16;0;2;23;8;19;False
2023-01-17;0;0;15;3;15;False
2023-01-18;3;0;100;6;22;False
2023-01-19;0;0;20;5;20;False
2023-01-20;5;2;23;15;16;False
2023-01-21;0;0;18;91;17;False
2023-01-22;0;2;24;21;19;False
2023-01-23;2;2;8;5;20;False
2023-01-24;0;0;0;8;15;False
2023-01-25;0;2;0;5;21;False
2023-01-26;0;0;3;4;19;False
2023-01-27;4;0;2;9;13;False
2023-01-28;2;3;4;32;18;False
2023-01-29;0;4;6;14;16;False
2023-01-30;0;2;1;3;27;False
2023-01-31;1;0;4;3;23;False
