date;Alexander Zverev;La Niña;Bradford;Caroline Polachek;air travel;isPartial
2023-01-01;0;0;100;0;3;False
2023-01-02;0;0;97;0;4;False
2023-01-03;0;0;87;0;2;False
2023-01-04;0;0;82;0;4;False
2023-01-05;0;0;82;0;3;False
2023-01-06;0;0;86;0;3;False
2023-01-07;0;0;78;1;2;False
2023-01-08;0;0;80;0;4;False
2023-01-09;0;0;89;0;2;False
2023-01-10;0;0;95;0;3;False
2023-01-11;0;0;85;0;4;False
2023-01-12;0;0;91;1;3;False
2023-01-13;0;0;88;1;3;False
2023-01-14;1;1;88;1;2;False
2023-01-15;0;0;81;1;3;False
2023-01-16;0;0;96;0;3;False
2023-01-17;1;0;85;0;2;False
2023-01-18;0;0;85;0;3;False
2023-01-19;1;0;82;1;3;False
2023-01-20;0;0;86;1;2;False
2023-01-21;0;0;99;1;3;False
2023-01-22;0;0;77;1;3;False
2023-01-23;0;0;87;1;3;False
2023-01-24;0;0;91;0;2;False
2023-01-25;0;0;88;1;3;False
2023-01-26;0;0;80;1;3;False
2023-01-27;0;0;86;1;2;False
2023-01-28;0;0;86;0;3;False
2023-01-29;0;0;84;1;3;False
2023-01-30;0;0;89;0;4;False
2023-01-31;1;0;91;1;4;False
