date;World Cup;Geology;peter kay;E coli;air travel;isPartial
2023-01-01;100;2;12;1;4;False
2023-01-02;93;3;8;1;5;False
2023-01-03;82;2;6;1;3;False
2023-01-04;75;2;7;2;5;False
2023-01-05;67;2;7;2;4;False
2023-01-06;68;2;12;2;4;False
2023-01-07;70;2;12;2;3;False
2023-01-08;73;3;22;1;4;False
2023-01-09;65;3;10;2;3;False
2023-01-10;58;3;10;2;4;False
2023-01-11;57;3;7;2;5;False
2023-01-12;58;2;7;2;4;False
2023-01-13;66;4;5;2;3;False
2023-01-14;71;2;7;1;3;False
2023-01-15;78;2;7;2;3;False
2023-01-16;58;4;4;3;4;False
2023-01-17;57;2;5;2;3;False
2023-01-18;52;2;5;1;4;False
2023-01-19;56;4;7;2;4;False
2023-01-20;53;2;12;3;3;False
2023-01-21;64;2;18;2;3;False
2023-01-22;74;2;11;2;4;False
2023-01-23;52;3;7;4;4;False
2023-01-24;64;2;7;2;3;False
2023-01-25;62;3;6;2;4;False
2023-01-26;51;3;4;2;4;False
2023-01-27;64;3;6;2;2;False
2023-01-28;53;1;7;2;3;False
2023-01-29;73;2;12;1;3;False
2023-01-30;50;4;12;1;5;False
2023-01-31;51;2;7;2;4;False
