date;Radio industry;England holidays;Midwifery;Gavin Newsom;air travel;isPartial
2023-01-01;4;68;23;0;43;False
2023-01-02;0;88;29;9;50;False
2023-01-03;0;100;33;3;33;False
2023-01-04;0;71;43;12;49;False
2023-01-05;0;59;33;0;41;False
2023-01-06;5;61;40;4;41;False
2023-01-07;0;45;33;0;30;False
2023-01-08;0;47;35;0;47;False
2023-01-09;0;54;65;0;28;False
2023-01-10;0;57;71;0;44;False
2023-01-11;3;37;52;8;50;False
2023-01-12;0;40;52;0;41;False
2023-01-13;0;33;55;0;33;False
2023-01-14;0;25;28;0;31;False
2023-01-15;8;52;38;4;37;False
2023-01-16;2;44;52;0;38;False
2023-01-17;3;56;57;0;31;False
2023-01-18;3;33;49;3;45;False
2023-01-19;6;50;37;5;41;False
2023-01-20;0;34;35;0;33;False
2023-01-21;0;24;34;3;35;False
2023-01-22;0;45;30;0;39;False
2023-01-23;9;50;52;0;40;False
2023-01-24;0;44;52;7;31;False
2023-01-25;0;44;59;3;42;False
2023-01-26;0;25;56;0;38;False
2023-01-27;0;41;47;3;26;False
2023-01-28;0;27;32;0;37;False
2023-01-29;5;38;34;0;34;False
2023-01-30;0;54;51;5;56;False
2023-01-31;0;35;48;5;47;False
