date;uzbekistan;Qantas;European Union;Consumer rights;air travel;isPartial
2023-01-01;38;82;88;0;71;False
2023-01-02;35;96;56;42;84;False
2023-01-03;27;93;38;43;55;False
2023-01-04;29;74;42;48;82;False
2023-01-05;44;69;34;42;68;False
2023-01-06;31;80;34;50;68;False
2023-01-07;21;47;35;41;50;False
2023-01-08;22;85;30;36;79;False
2023-01-09;25;80;44;49;46;False
2023-01-10;40;57;40;60;73;False
2023-01-11;24;53;48;35;83;False
2023-01-12;18;74;42;37;69;False
2023-01-13;35;84;41;58;56;False
2023-01-14;29;65;16;23;52;False
2023-01-15;22;77;17;28;62;False
2023-01-16;28;76;64;58;64;False
2023-01-17;34;61;41;55;52;False
2023-01-18;32;97;43;38;75;False
2023-01-19;43;85;39;52;68;False
2023-01-20;43;76;47;35;55;False
2023-01-21;40;80;26;23;59;False
2023-01-22;53;67;43;33;65;False
2023-01-23;19;63;37;42;67;False
2023-01-24;42;70;27;63;51;False
2023-01-25;31;72;67;39;70;False
2023-01-26;35;70;31;54;63;False
2023-01-27;35;51;42;21;44;False
2023-01-28;34;57;19;28;61;False
2023-01-29;24;100;18;24;56;False
2023-01-30;44;60;31;33;93;False
2023-01-31;19;54;50;55;78;False
