date;Enrique Peña Nieto;Iceland;Comics and graphic novels;Australian fashion;air travel;isPartial
2023-01-01;0;100;0;0;3;False
2023-01-02;0;99;0;0;4;False
2023-01-03;0;87;0;0;2;False
2023-01-04;0;85;0;0;4;False
2023-01-05;0;84;0;0;3;False
2023-01-06;0;84;0;0;3;False
2023-01-07;0;87;0;0;2;False
2023-01-08;0;95;0;1;3;False
2023-01-09;0;83;0;0;2;False
2023-01-10;0;82;0;0;3;False
2023-01-11;0;78;0;0;4;False
2023-01-12;0;82;0;0;3;False
2023-01-13;0;81;0;0;2;False
2023-01-14;0;85;0;0;2;False
2023-01-15;0;85;0;0;3;False
2023-01-16;0;78;0;0;3;False
2023-01-17;0;75;0;0;2;False
2023-01-18;0;75;0;0;3;False
2023-01-19;0;75;0;0;3;False
2023-01-20;0;77;0;0;2;False
2023-01-21;0;83;0;0;2;False
2023-01-22;0;84;0;0;3;False
2023-01-23;0;80;0;0;3;False
2023-01-24;0;84;0;0;2;False
2023-01-25;0;78;0;0;3;False
2023-01-26;0;75;0;0;3;False
2023-01-27;0;78;0;0;2;False
2023-01-28;0;77;0;0;3;False
2023-01-29;0;82;0;0;2;False
2023-01-30;0;80;0;0;4;False
2023-01-31;0;79;0;0;3;False
