date;Pornography;Kurds;Psychology;Self-catering;air travel;isPartial
2023-01-01;0;1;44;0;7;False
2023-01-02;3;0;62;2;8;False
2023-01-03;2;1;72;1;5;False
2023-01-04;2;2;80;0;8;False
2023-01-05;2;1;84;1;7;False
2023-01-06;3;1;71;0;7;False
2023-01-07;4;0;57;1;5;False
2023-01-08;3;0;75;0;8;False
2023-01-09;3;0;100;0;5;False
2023-01-10;3;1;96;0;7;False
2023-01-11;3;0;92;0;8;False
2023-01-12;4;1;96;1;7;False
2023-01-13;3;0;72;0;5;False
2023-01-14;3;2;47;1;5;False
2023-01-15;3;1;63;1;6;False
2023-01-16;3;1;94;1;6;False
2023-01-17;3;0;93;1;5;False
2023-01-18;3;0;90;0;7;False
2023-01-19;2;0;87;0;7;False
2023-01-20;2;1;77;0;5;False
2023-01-21;4;1;52;0;6;False
2023-01-22;4;1;62;1;6;False
2023-01-23;3;0;93;2;7;False
2023-01-24;3;1;99;0;5;False
2023-01-25;3;1;91;0;7;False
2023-01-26;3;0;86;1;6;False
2023-01-27;3;1;70;0;4;False
2023-01-28;2;0;45;0;6;False
2023-01-29;2;0;55;0;6;False
2023-01-30;2;1;88;0;9;False
2023-01-31;4;0;84;0;8;False
