date;labour;Tourism (Australia);Eden Project;TfL;air travel;isPartial
2023-01-01;23;0;3;61;3;False
2023-01-02;25;0;3;76;4;False
2023-01-03;27;0;2;100;2;False
2023-01-04;30;0;2;91;4;False
2023-01-05;33;0;3;84;3;False
2023-01-06;28;0;2;71;3;False
2023-01-07;25;0;3;56;2;False
2023-01-08;28;0;3;57;4;False
2023-01-09;31;0;2;68;2;False
2023-01-10;32;0;2;66;3;False
2023-01-11;31;0;2;66;4;False
2023-01-12;31;0;1;69;3;False
2023-01-13;27;0;4;65;2;False
2023-01-14;22;0;3;59;2;False
2023-01-15;28;0;3;47;3;False
2023-01-16;31;0;2;63;3;False
2023-01-17;30;0;1;73;2;False
2023-01-18;35;0;4;59;3;False
2023-01-19;31;0;17;63;3;False
2023-01-20;30;0;4;63;2;False
2023-01-21;28;0;4;58;3;False
2023-01-22;26;0;4;54;3;False
2023-01-23;34;0;3;75;3;False
2023-01-24;31;0;3;75;2;False
2023-01-25;30;0;2;67;3;False
2023-01-26;29;1;2;59;3;False
2023-01-27;32;0;2;67;2;False
2023-01-28;23;0;3;62;3;False
2023-01-29;28;0;4;52;3;False
2023-01-30;32;0;2;71;4;False
2023-01-31;34;0;2;92;3;False
