date;Bolivia;Fifa;Stew;Valencia;air travel;isPartial
2023-01-01;2;96;17;8;3;False
2023-01-02;2;99;19;10;3;False
2023-01-03;2;85;21;10;2;False
2023-01-04;2;78;18;8;3;False
2023-01-05;5;75;18;6;2;False
2023-01-06;2;77;15;15;2;False
2023-01-07;2;89;21;9;2;False
2023-01-08;2;88;28;9;3;False
2023-01-09;2;80;18;8;2;False
2023-01-10;2;86;20;9;3;False
2023-01-11;1;73;17;29;3;False
2023-01-12;2;95;17;12;2;False
2023-01-13;1;74;14;8;2;False
2023-01-14;1;84;21;9;2;False
2023-01-15;2;88;26;12;2;False
2023-01-16;2;67;19;9;2;False
2023-01-17;2;65;21;8;2;False
2023-01-18;2;70;19;11;3;False
2023-01-19;2;74;18;8;2;False
2023-01-20;2;89;16;9;2;False
2023-01-21;1;100;21;9;2;False
2023-01-22;2;89;26;10;2;False
2023-01-23;2;81;19;15;2;False
2023-01-24;2;71;17;9;2;False
2023-01-25;2;71;18;8;3;False
2023-01-26;2;68;14;17;2;False
2023-01-27;1;74;13;9;2;False
2023-01-28;2;84;18;10;2;False
2023-01-29;2;86;25;14;2;False
2023-01-30;2;73;16;11;3;False
2023-01-31;2;75;19;9;3;False
