date;peloton;Melanie C;Graham Coxon;Morgan Freeman;air travel;isPartial
2023-01-01;57;100;2;37;20;False
2023-01-02;55;3;2;30;24;False
2023-01-03;50;5;0;33;16;False
2023-01-04;57;2;0;11;24;False
2023-01-05;44;2;0;20;19;False
2023-01-06;41;0;2;13;19;False
2023-01-07;45;16;0;20;14;False
2023-01-08;57;3;0;25;22;False
2023-01-09;47;2;0;13;13;False
2023-01-10;51;0;4;12;21;False
2023-01-11;34;3;0;12;24;False
2023-01-12;36;6;0;9;20;False
2023-01-13;39;0;2;14;16;False
2023-01-14;43;1;0;22;15;False
2023-01-15;52;3;3;21;18;False
2023-01-16;40;0;2;16;18;False
2023-01-17;36;2;0;16;15;False
2023-01-18;34;0;0;13;21;False
2023-01-19;25;0;0;8;19;False
2023-01-20;30;0;0;15;16;False
2023-01-21;39;2;1;20;17;False
2023-01-22;36;0;0;11;19;False
2023-01-23;31;2;0;12;19;False
2023-01-24;26;0;0;9;15;False
2023-01-25;25;0;0;9;20;False
2023-01-26;27;0;0;8;18;False
2023-01-27;37;4;0;9;12;False
2023-01-28;43;2;2;19;18;False
2023-01-29;42;2;0;15;16;False
2023-01-30;32;0;0;7;27;False
2023-01-31;24;1;0;12;22;False
