date;Gun control;indonesia;Health and fitness holidays;Outkast;air travel;isPartial
2023-01-01;0;63;0;9;25;False
2023-01-02;3;83;0;0;29;False
2023-01-03;0;69;0;3;19;False
2023-01-04;2;76;0;5;29;False
2023-01-05;2;70;0;7;24;False
2023-01-06;3;85;0;2;24;False
2023-01-07;0;81;0;9;17;False
2023-01-08;3;77;0;10;27;False
2023-01-09;8;100;0;3;16;False
2023-01-10;0;99;0;2;26;False
2023-01-11;0;88;0;4;29;False
2023-01-12;4;80;0;4;24;False
2023-01-13;0;77;0;4;19;False
2023-01-14;0;61;0;5;18;False
2023-01-15;0;74;0;4;21;False
2023-01-16;0;84;0;4;22;False
2023-01-17;0;74;0;0;18;False
2023-01-18;3;80;0;6;26;False
2023-01-19;0;70;0;0;24;False
2023-01-20;0;72;0;0;19;False
2023-01-21;0;60;0;2;20;False
2023-01-22;0;71;0;2;23;False
2023-01-23;3;82;0;2;23;False
2023-01-24;4;84;0;7;18;False
2023-01-25;4;70;0;6;24;False
2023-01-26;2;73;0;0;22;False
2023-01-27;3;67;0;6;15;False
2023-01-28;4;58;0;3;21;False
2023-01-29;0;64;0;2;20;False
2023-01-30;0;64;0;5;32;False
2023-01-31;0;69;0;5;27;False
