date;covid-19;Tanya Plibersek;Barratt Developments;Dr Martens;air travel;isPartial
2023-01-01;13;1;0;99;14;False
2023-01-02;16;0;1;100;16;False
2023-01-03;20;0;2;80;11;False
2023-01-04;19;0;1;68;16;False
2023-01-05;14;0;0;71;13;False
2023-01-06;19;0;2;72;13;False
2023-01-07;18;2;0;81;10;False
2023-01-08;17;0;0;79;15;False
2023-01-09;18;0;0;60;9;False
2023-01-10;18;0;0;64;14;False
2023-01-11;17;0;1;60;16;False
2023-01-12;20;2;0;71;14;False
2023-01-13;14;0;0;61;11;False
2023-01-14;14;0;0;83;10;False
2023-01-15;12;0;1;81;12;False
2023-01-16;15;0;2;60;12;False
2023-01-17;18;0;0;66;10;False
2023-01-18;13;0;2;57;15;False
2023-01-19;13;0;3;80;13;False
2023-01-20;15;0;0;76;11;False
2023-01-21;12;3;0;82;11;False
2023-01-22;12;0;0;83;13;False
2023-01-23;14;0;1;61;13;False
2023-01-24;17;0;2;55;10;False
2023-01-25;14;1;1;59;14;False
2023-01-26;12;0;4;58;12;False
2023-01-27;10;1;1;63;9;False
2023-01-28;12;0;0;67;12;False
2023-01-29;9;0;0;67;11;False
2023-01-30;15;0;2;52;18;False
2023-01-31;16;0;0;57;15;False
