date;Local government;Access to water;Robert De Niro;Vienna holidays;air travel;isPartial
2023-01-01;17;0;100;28;66;False
2023-01-02;33;9;62;14;79;False
2023-01-03;59;0;37;15;51;False
2023-01-04;80;0;36;12;77;False
2023-01-05;61;7;53;14;63;False
2023-01-06;60;8;46;0;64;False
2023-01-07;33;0;49;18;46;False
2023-01-08;35;9;54;20;73;False
2023-01-09;76;10;36;8;43;False
2023-01-10;73;0;41;15;68;False
2023-01-11;75;5;36;5;78;False
2023-01-12;52;10;51;21;65;False
2023-01-13;71;10;56;19;52;False
2023-01-14;23;9;79;19;49;False
2023-01-15;37;0;44;11;57;False
2023-01-16;75;6;58;10;59;False
2023-01-17;79;6;30;0;48;False
2023-01-18;60;0;33;22;70;False
2023-01-19;65;13;41;9;63;False
2023-01-20;57;10;59;11;51;False
2023-01-21;26;0;81;8;55;False
2023-01-22;36;14;46;10;61;False
2023-01-23;47;9;29;0;62;False
2023-01-24;85;9;33;6;48;False
2023-01-25;83;0;41;5;65;False
2023-01-26;74;7;60;0;59;False
2023-01-27;60;5;29;8;41;False
2023-01-28;26;13;38;7;57;False
2023-01-29;35;0;49;0;52;False
2023-01-30;66;20;37;7;87;False
2023-01-31;76;0;29;0;73;False
