date;Sam Taylor-Johnson;Art and design;Richard Nixon;Land ownership;air travel;isPartial
2023-01-01;17;19;0;6;76;False
2023-01-02;9;37;6;0;90;False
2023-01-03;18;25;17;10;59;False
2023-01-04;18;41;9;18;89;False
2023-01-05;26;44;6;0;73;False
2023-01-06;0;29;14;0;73;False
2023-01-07;0;21;9;13;53;False
2023-01-08;16;21;0;7;84;False
2023-01-09;8;42;7;0;50;False
2023-01-10;8;44;0;19;79;False
2023-01-11;0;27;0;9;90;False
2023-01-12;0;33;0;15;75;False
2023-01-13;21;16;8;11;60;False
2023-01-14;0;14;10;16;56;False
2023-01-15;5;30;10;6;66;False
2023-01-16;21;41;7;11;68;False
2023-01-17;0;49;0;17;56;False
2023-01-18;10;31;7;0;80;False
2023-01-19;20;37;0;0;73;False
2023-01-20;32;48;0;11;59;False
2023-01-21;22;18;16;0;63;False
2023-01-22;17;25;11;13;70;False
2023-01-23;14;47;10;21;72;False
2023-01-24;9;31;0;9;55;False
2023-01-25;0;57;8;10;75;False
2023-01-26;8;35;19;18;68;False
2023-01-27;7;20;8;11;47;False
2023-01-28;9;16;18;0;66;False
2023-01-29;0;28;16;0;60;False
2023-01-30;8;45;5;15;100;False
2023-01-31;15;57;9;14;84;False
