date;European court of human rights;Mindfulness;Kilmarnock;Colin Farrell;air travel;isPartial
2023-01-01;0;3;15;5;3;False
2023-01-02;0;4;23;4;4;False
2023-01-03;0;4;16;2;2;False
2023-01-04;0;5;16;3;4;False
2023-01-05;0;3;15;3;3;False
2023-01-06;0;4;15;3;3;False
2023-01-07;0;2;51;4;2;False
2023-01-08;0;4;18;4;3;False
2023-01-09;0;6;15;2;2;False
2023-01-10;0;4;14;3;3;False
2023-01-11;0;5;15;19;4;False
2023-01-12;1;5;15;10;3;False
2023-01-13;0;4;17;9;2;False
2023-01-14;0;2;100;10;2;False
2023-01-15;0;3;22;9;3;False
2023-01-16;0;5;16;8;3;False
2023-01-17;0;4;15;4;2;False
2023-01-18;0;4;69;4;3;False
2023-01-19;0;3;25;4;3;False
2023-01-20;0;3;14;7;2;False
2023-01-21;0;3;25;7;3;False
2023-01-22;0;4;16;5;3;False
2023-01-23;0;4;16;3;3;False
2023-01-24;0;5;14;4;2;False
2023-01-25;0;5;13;5;3;False
2023-01-26;0;4;13;4;3;False
2023-01-27;1;3;15;5;2;False
2023-01-28;0;2;21;6;3;False
2023-01-29;0;3;15;5;2;False
2023-01-30;0;5;14;3;4;False
2023-01-31;1;5;18;3;3;False
