date;Travel websites;Green party;Politics past;RSPB;air travel;isPartial
2023-01-01;0;8;1;17;11;False
2023-01-02;0;5;1;21;13;False
2023-01-03;0;5;1;14;9;False
2023-01-04;0;7;2;19;13;False
2023-01-05;0;4;2;18;11;False
2023-01-06;0;4;1;15;11;False
2023-01-07;0;4;0;15;8;False
2023-01-08;1;3;1;21;12;False
2023-01-09;0;5;1;15;7;False
2023-01-10;1;5;0;18;11;False
2023-01-11;0;5;2;15;13;False
2023-01-12;1;6;0;18;11;False
2023-01-13;0;7;0;15;9;False
2023-01-14;0;6;1;16;8;False
2023-01-15;1;6;1;21;10;False
2023-01-16;0;3;1;20;10;False
2023-01-17;2;8;3;18;8;False
2023-01-18;0;6;0;21;12;False
2023-01-19;0;2;0;22;11;False
2023-01-20;1;11;1;25;9;False
2023-01-21;0;8;0;26;9;False
2023-01-22;1;8;0;24;10;False
2023-01-23;0;7;1;20;10;False
2023-01-24;2;7;2;21;8;False
2023-01-25;0;7;2;23;11;False
2023-01-26;0;7;0;36;10;False
2023-01-27;0;4;1;77;7;False
2023-01-28;0;5;2;79;10;False
2023-01-29;2;7;0;100;9;False
2023-01-30;0;4;2;49;15;False
2023-01-31;2;7;1;27;12;False
