date;Bullying;Cardi B;Investments;Chris Minns;air travel;isPartial
2023-01-01;32;22;42;0;24;False
2023-01-02;17;21;45;0;29;False
2023-01-03;31;20;82;2;19;False
2023-01-04;38;20;83;0;28;False
2023-01-05;36;29;83;2;23;False
2023-01-06;41;20;73;0;23;False
2023-01-07;21;24;47;3;17;False
2023-01-08;31;17;59;0;27;False
2023-01-09;44;19;95;3;16;False
2023-01-10;41;19;100;0;25;False
2023-01-11;41;14;85;0;29;False
2023-01-12;47;20;78;0;24;False
2023-01-13;45;20;82;0;19;False
2023-01-14;28;26;54;3;18;False
2023-01-15;34;21;40;0;21;False
2023-01-16;51;15;99;0;22;False
2023-01-17;44;21;90;0;18;False
2023-01-18;57;27;88;0;26;False
2023-01-19;46;31;73;4;23;False
2023-01-20;49;22;84;0;19;False
2023-01-21;29;28;44;0;20;False
2023-01-22;42;31;46;2;22;False
2023-01-23;55;23;95;4;23;False
2023-01-24;50;26;98;0;18;False
2023-01-25;52;20;93;5;24;False
2023-01-26;61;14;92;0;22;False
2023-01-27;41;26;79;2;15;False
2023-01-28;27;25;52;6;21;False
2023-01-29;33;16;47;2;19;False
2023-01-30;41;22;87;0;32;False
2023-01-31;48;15;97;0;27;False
