date;Conservation;Monica Ali;Australia;Women's health;air travel;isPartial
2023-01-01;3;0;92;2;3;False
2023-01-02;4;0;100;1;3;False
2023-01-03;7;0;97;1;2;False
2023-01-04;6;0;91;1;3;False
2023-01-05;7;0;88;1;3;False
2023-01-06;6;0;92;0;3;False
2023-01-07;4;0;84;0;2;False
2023-01-08;5;0;96;1;3;False
2023-01-09;7;0;81;1;2;False
2023-01-10;7;0;81;1;3;False
2023-01-11;7;0;76;1;3;False
2023-01-12;7;0;81;1;3;False
2023-01-13;6;0;73;1;2;False
2023-01-14;4;0;74;0;2;False
2023-01-15;5;0;79;1;2;False
2023-01-16;8;0;83;1;2;False
2023-01-17;7;0;77;1;2;False
2023-01-18;8;0;76;1;3;False
2023-01-19;7;0;79;1;3;False
2023-01-20;5;0;89;1;2;False
2023-01-21;4;0;87;0;2;False
2023-01-22;5;0;89;1;2;False
2023-01-23;8;0;92;1;3;False
2023-01-24;7;0;85;1;2;False
2023-01-25;7;0;84;1;3;False
2023-01-26;7;0;89;0;2;False
2023-01-27;6;0;74;1;2;False
2023-01-28;4;0;76;1;2;False
2023-01-29;5;0;88;0;2;False
2023-01-30;9;0;80;1;3;False
2023-01-31;7;0;84;1;3;False
