date;Margo Jefferson;Basketball;Personal loans;Rachel Reeves;air travel;isPartial
2023-01-01;1;72;8;0;9;False
2023-01-02;0;82;6;1;11;False
2023-01-03;0;73;5;2;7;False
2023-01-04;0;62;12;1;11;False
2023-01-05;1;66;6;4;9;False
2023-01-06;0;85;5;1;9;False
2023-01-07;1;83;5;4;7;False
2023-01-08;0;92;3;2;10;False
2023-01-09;0;74;5;2;6;False
2023-01-10;0;71;6;2;10;False
2023-01-11;0;83;6;2;11;False
2023-01-12;0;76;4;2;9;False
2023-01-13;1;73;3;6;7;False
2023-01-14;0;89;6;2;7;False
2023-01-15;0;95;6;0;8;False
2023-01-16;0;68;4;0;8;False
2023-01-17;0;70;6;1;7;False
2023-01-18;0;72;6;3;10;False
2023-01-19;0;77;5;1;9;False
2023-01-20;0;80;5;1;7;False
2023-01-21;1;85;7;5;8;False
2023-01-22;0;87;3;10;9;False
2023-01-23;0;67;6;2;9;False
2023-01-24;0;82;4;1;7;False
2023-01-25;0;72;8;1;9;False
2023-01-26;0;66;4;1;8;False
2023-01-27;0;77;6;0;6;False
2023-01-28;1;80;6;1;8;False
2023-01-29;0;100;8;0;7;False
2023-01-30;2;73;7;1;12;False
2023-01-31;0;71;6;3;10;False
