date;Social networking;phillip schofield;heathrow airport;British Horseracing Authority;air travel;isPartial
2023-01-01;0;8;100;0;17;False
2023-01-02;0;15;92;0;20;False
2023-01-03;0;37;78;0;13;False
2023-01-04;2;12;85;0;20;False
2023-01-05;2;19;93;1;16;False
2023-01-06;0;11;67;1;16;False
2023-01-07;1;4;74;0;12;False
2023-01-08;0;9;80;9;19;False
2023-01-09;0;6;74;2;11;False
2023-01-10;3;6;67;0;18;False
2023-01-11;1;8;81;0;20;False
2023-01-12;0;6;88;0;17;False
2023-01-13;0;5;65;0;13;False
2023-01-14;4;8;62;0;12;False
2023-01-15;5;14;83;0;15;False
2023-01-16;4;6;76;2;15;False
2023-01-17;2;6;67;0;12;False
2023-01-18;0;8;66;0;18;False
2023-01-19;0;9;68;0;16;False
2023-01-20;0;6;67;0;13;False
2023-01-21;0;5;74;1;14;False
2023-01-22;0;15;100;0;16;False
2023-01-23;0;11;97;0;16;False
2023-01-24;0;13;78;0;12;False
2023-01-25;3;8;66;3;17;False
2023-01-26;4;38;73;0;15;False
2023-01-27;0;13;62;0;10;False
2023-01-28;0;3;71;1;15;False
2023-01-29;2;7;75;0;13;False
2023-01-30;0;5;83;0;22;False
2023-01-31;2;9;80;5;19;False
