date;netflix;Toni Collette;Childish Gambino;Cervical cancer;air travel;isPartial
2023-01-01;100;0;0;1;1;False
2023-01-02;84;0;0;1;1;False
2023-01-03;69;0;0;1;1;False
2023-01-04;60;0;0;1;1;False
2023-01-05;61;0;0;1;1;False
2023-01-06;67;0;0;1;1;False
2023-01-07;73;0;0;1;1;False
2023-01-08;79;0;0;1;1;False
2023-01-09;59;0;0;1;0;False
2023-01-10;55;0;0;1;1;False
2023-01-11;53;0;0;1;1;False
2023-01-12;54;0;0;1;1;False
2023-01-13;53;0;0;1;1;False
2023-01-14;75;1;0;1;1;False
2023-01-15;67;0;0;1;1;False
2023-01-16;48;0;0;1;1;False
2023-01-17;46;0;0;1;1;False
2023-01-18;50;0;0;1;1;False
2023-01-19;51;0;0;1;1;False
2023-01-20;60;0;0;1;1;False
2023-01-21;67;0;0;1;1;False
2023-01-22;65;0;0;1;1;False
2023-01-23;55;0;0;2;1;False
2023-01-24;50;1;0;2;1;False
2023-01-25;47;0;0;1;1;False
2023-01-26;48;0;0;1;1;False
2023-01-27;55;0;0;1;0;False
2023-01-28;73;0;0;1;1;False
2023-01-29;65;0;0;1;1;False
2023-01-30;45;0;0;1;1;False
2023-01-31;48;0;0;1;1;False
