date;Sidi Larbi Cherkaoui;Staff shortages;Animal behaviour;Emeli Sandé;air travel;isPartial
2023-01-01;0;0;0;13;76;False
2023-01-02;0;0;0;0;90;False
2023-01-03;0;16;9;6;59;False
2023-01-04;0;0;0;8;89;False
2023-01-05;0;15;17;0;73;False
2023-01-06;13;7;5;0;73;False
2023-01-07;0;0;8;0;53;False
2023-01-08;6;0;0;23;84;False
2023-01-09;0;6;12;0;50;False
2023-01-10;0;0;13;8;79;False
2023-01-11;7;6;8;0;90;False
2023-01-12;17;0;14;0;75;False
2023-01-13;0;7;0;0;60;False
2023-01-14;9;10;5;13;56;False
2023-01-15;0;0;7;0;66;False
2023-01-16;0;0;6;0;68;False
2023-01-17;14;13;14;6;56;False
2023-01-18;7;0;6;0;80;False
2023-01-19;0;0;15;0;73;False
2023-01-20;0;0;0;5;59;False
2023-01-21;0;0;10;0;63;False
2023-01-22;0;6;17;0;70;False
2023-01-23;0;6;10;0;72;False
2023-01-24;7;0;0;0;55;False
2023-01-25;0;6;8;0;75;False
2023-01-26;0;0;15;0;68;False
2023-01-27;5;0;9;0;47;False
2023-01-28;0;19;18;17;66;False
2023-01-29;0;14;6;0;60;False
2023-01-30;7;9;0;0;100;False
2023-01-31;0;11;6;14;84;False
