date;Washington Post;Premiership;Sadiq Khan;School funding;air travel;isPartial
2023-01-01;2;71;3;0;7;False
2023-01-02;2;88;1;1;8;False
2023-01-03;4;51;2;2;5;False
2023-01-04;5;59;2;2;8;False
2023-01-05;5;37;1;2;7;False
2023-01-06;3;29;0;2;7;False
2023-01-07;3;60;1;2;5;False
2023-01-08;3;50;1;1;8;False
2023-01-09;4;17;1;3;5;False
2023-01-10;4;19;1;2;7;False
2023-01-11;2;19;2;2;8;False
2023-01-12;4;25;4;1;7;False
2023-01-13;3;30;2;2;5;False
2023-01-14;2;100;2;1;5;False
2023-01-15;2;80;2;1;6;False
2023-01-16;2;23;2;2;6;False
2023-01-17;3;14;2;1;5;False
2023-01-18;2;44;8;3;7;False
2023-01-19;4;35;4;3;7;False
2023-01-20;2;26;3;2;5;False
2023-01-21;2;100;2;0;6;False
2023-01-22;3;80;3;1;6;False
2023-01-23;2;34;4;3;7;False
2023-01-24;3;27;4;2;5;False
2023-01-25;1;16;3;2;7;False
2023-01-26;4;14;5;3;6;False
2023-01-27;3;24;5;1;4;False
2023-01-28;1;64;5;2;6;False
2023-01-29;3;49;3;1;5;False
2023-01-30;3;18;3;2;9;False
2023-01-31;2;20;4;3;8;False
