date;The Irishman;Solar power;conservatives;Sega;air travel;isPartial
2023-01-01;31;35;13;81;58;False
2023-01-02;26;53;15;77;69;False
2023-01-03;9;37;20;61;45;False
2023-01-04;20;31;18;71;67;False
2023-01-05;11;52;15;46;55;False
2023-01-06;10;37;14;78;56;False
2023-01-07;27;43;18;61;41;False
2023-01-08;28;48;24;74;64;False
2023-01-09;15;34;14;59;38;False
2023-01-10;18;59;21;46;60;False
2023-01-11;6;45;31;54;68;False
2023-01-12;22;54;42;59;57;False
2023-01-13;11;42;27;69;46;False
2023-01-14;21;52;24;100;43;False
2023-01-15;26;34;24;60;50;False
2023-01-16;0;46;31;59;52;False
2023-01-17;10;46;20;47;42;False
2023-01-18;13;50;8;48;61;False
2023-01-19;17;48;21;61;55;False
2023-01-20;11;44;23;71;45;False
2023-01-21;20;35;18;55;48;False
2023-01-22;14;50;26;44;53;False
2023-01-23;18;50;33;50;55;False
2023-01-24;10;67;12;53;42;False
2023-01-25;12;53;22;54;57;False
2023-01-26;14;44;23;39;52;False
2023-01-27;18;41;20;44;36;False
2023-01-28;23;29;12;73;50;False
2023-01-29;17;46;30;59;46;False
2023-01-30;7;68;26;60;76;False
2023-01-31;16;48;20;60;64;False
