date;Morrisons;Low emission zones;ITV Digital;Bush theatre;air travel;isPartial
2023-01-01;100;0;0;0;1;False
2023-01-02;77;0;0;0;1;False
2023-01-03;34;0;0;0;1;False
2023-01-04;34;0;0;0;1;False
2023-01-05;33;0;0;0;1;False
2023-01-06;34;0;0;0;1;False
2023-01-07;35;0;0;1;1;False
2023-01-08;38;0;0;0;1;False
2023-01-09;32;0;0;0;1;False
2023-01-10;32;0;0;0;1;False
2023-01-11;32;0;0;0;1;False
2023-01-12;35;0;0;0;1;False
2023-01-13;33;0;0;0;1;False
2023-01-14;37;0;0;0;1;False
2023-01-15;38;0;0;0;1;False
2023-01-16;31;0;0;0;1;False
2023-01-17;31;0;0;0;1;False
2023-01-18;32;0;0;0;1;False
2023-01-19;33;0;0;0;1;False
2023-01-20;35;0;0;0;1;False
2023-01-21;37;0;0;0;1;False
2023-01-22;40;0;0;0;1;False
2023-01-23;32;0;0;0;1;False
2023-01-24;32;0;0;0;1;False
2023-01-25;32;0;0;0;1;False
2023-01-26;32;0;0;0;1;False
2023-01-27;34;0;0;0;1;False
2023-01-28;35;0;0;0;1;False
2023-01-29;38;0;0;0;1;False
2023-01-30;34;0;0;0;1;False
2023-01-31;31;0;0;0;1;False
