date;united kingdom;kim kardashian;PDC World Championships;Sleep;air travel;isPartial
2023-01-01;7;7;0;79;2;False
2023-01-02;10;6;1;97;2;False
2023-01-03;14;4;0;100;2;False
2023-01-04;15;5;0;100;2;False
2023-01-05;15;5;0;89;2;False
2023-01-06;13;6;1;80;2;False
2023-01-07;10;5;0;73;1;False
2023-01-08;9;9;0;93;2;False
2023-01-09;15;9;0;86;1;False
2023-01-10;14;6;0;82;2;False
2023-01-11;12;5;0;75;2;False
2023-01-12;16;5;0;80;2;False
2023-01-13;12;5;0;70;2;False
2023-01-14;10;6;0;70;2;False
2023-01-15;9;6;0;75;2;False
2023-01-16;14;5;0;78;2;False
2023-01-17;14;5;0;78;2;False
2023-01-18;14;6;0;76;2;False
2023-01-19;13;8;0;73;2;False
2023-01-20;12;7;0;68;2;False
2023-01-21;8;8;0;71;2;False
2023-01-22;10;6;0;78;2;False
2023-01-23;16;5;0;77;2;False
2023-01-24;14;6;0;78;2;False
2023-01-25;13;5;0;69;2;False
2023-01-26;14;5;0;72;2;False
2023-01-27;14;4;0;66;1;False
2023-01-28;9;6;0;66;2;False
2023-01-29;9;6;0;73;2;False
2023-01-30;15;5;0;75;3;False
2023-01-31;14;5;0;72;2;False
